tweet_id,favorites,retweets,user_followers,user_favourites,date_time
828376505180889089,7996,1191,6556084,132912,2017-02-05 22:55:23
828372645993398273,13546,3273,6556084,132912,2017-02-05 22:40:03
828361771580813312,2369,191,6556083,132912,2017-02-05 21:56:51
828046555563323392,12738,3195,6556083,132912,2017-02-05 01:04:17
828011680017821696,11202,2396,6556083,132912,2017-02-04 22:45:42
827933404142436356,21818,5855,6556083,132912,2017-02-04 17:34:40
827653905312006145,16719,3355,6556083,132912,2017-02-03 23:04:02
827600520311402496,8029,1057,6556083,132912,2017-02-03 19:31:54
827324948884643840,17198,3425,6556084,132912,2017-02-03 01:16:53
827199976799354881,11462,2510,6556083,132912,2017-02-02 17:00:17
826958653328592898,23385,5608,6556083,132912,2017-02-02 01:01:21
826848821049180160,39594,11520,6556083,132912,2017-02-01 17:44:55
826615380357632002,0,4416,6556083,132912,2017-02-01 02:17:19
826598799820865537,5546,287,6556084,132912,2017-02-01 01:11:25
826598365270007810,10921,2632,6556084,132912,2017-02-01 01:09:42
826476773533745153,19954,4702,6556084,132912,2017-01-31 17:06:32
826240494070030336,14373,2900,6556084,132912,2017-01-31 01:27:39
826204788643753985,5282,1054,6556084,132912,2017-01-30 23:05:46
826115272272650244,16999,3510,6556084,132912,2017-01-30 17:10:04
825876512159186944,11342,2098,6556084,132912,2017-01-30 01:21:19
825829644528148480,13796,2793,6556084,132912,2017-01-29 22:15:05
825535076884762624,56393,19286,6556084,132912,2017-01-29 02:44:34
825147591692263424,19862,5130,6556085,132912,2017-01-28 01:04:51
825120256414846976,0,1445,6556086,132912,2017-01-27 23:16:13
825026590719483904,6903,1444,6556086,132912,2017-01-27 17:04:02
824796380199809024,0,6155,6556086,132912,2017-01-27 01:49:15
824775126675836928,16241,3959,6556086,132912,2017-01-27 00:24:48
824663926340194305,10928,1949,6556086,132912,2017-01-26 17:02:56
824325613288833024,12788,11625,6556086,132912,2017-01-25 18:38:36
824297048279236611,16315,4342,6556086,132912,2017-01-25 16:45:05
824025158776213504,5177,665,6556086,132912,2017-01-24 22:44:42
823939628516474880,11560,3044,6556087,132912,2017-01-24 17:04:50
823719002937630720,0,12652,6556087,132912,2017-01-24 02:28:08
823699002998870016,13642,2712,6556087,132912,2017-01-24 01:08:40
823581115634085888,14153,2975,6556087,132912,2017-01-23 17:20:14
823333489516937216,761,29,6556087,132912,2017-01-23 00:56:15
823322678127919110,17123,4529,6556087,132912,2017-01-23 00:13:17
823269594223824897,0,11096,6556087,132912,2017-01-22 20:42:21
822975315408461824,18805,3869,6556087,132912,2017-01-22 01:12:59
822872901745569793,143952,49407,6556087,132912,2017-01-21 18:26:02
822859134160621569,14349,2566,6556087,132912,2017-01-21 17:31:20
822647212903690241,0,7204,6556087,132912,2017-01-21 03:29:14
822610361945911296,16049,3331,6556087,132912,2017-01-21 01:02:48
822489057087389700,19747,7204,6556088,132912,2017-01-20 17:00:46
822462944365645825,31180,16651,6556088,132912,2017-01-20 15:17:01
822244816520155136,38138,11096,6556088,132912,2017-01-20 00:50:15
822163064745328640,0,5431,6556089,132912,2017-01-19 19:25:24
821886076407029760,12359,2635,6556090,132912,2017-01-19 01:04:45
821813639212650496,0,3755,6556090,132912,2017-01-18 20:16:54
821765923262631936,9173,1868,6556090,132912,2017-01-18 17:07:18
821522889702862852,8722,1988,6556090,132912,2017-01-18 01:01:34
821421320206483457,0,6292,6556090,132912,2017-01-17 18:17:58
821407182352777218,12838,4912,6556090,132912,2017-01-17 17:21:47
821153421864615936,275,10,6556090,132912,2017-01-17 00:33:26
821149554670182400,9524,2267,6556091,132912,2017-01-17 00:18:04
821107785811234820,10459,2404,6556091,132912,2017-01-16 21:32:06
821044531881721856,13769,2577,6556091,132912,2017-01-16 17:20:45
